title,code,industry,link,Assessing Authority,Federal Lists,Skilled Visas,Employer Sponsored Visas,State Nomination
Life Scientists (NEC),234599,234599,https://www.anzscolookup.com.au/occupations/234599,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
lifeguard,452414,452414,https://www.anzscolookup.com.au/occupations/452414,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Lift Mechanic,341113,341113,https://www.anzscolookup.com.au/occupations/341113,TRA,MLTSSL,"Subclass 189, Subclass 190, Subclass 491, Subclass 485",Subclass 494,"190: 7 states, 491: 7 states"
Light Technician,399513,399513,https://www.anzscolookup.com.au/occupations/399513,TRA,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Livestock Farmers (NEC),121399,121399,https://www.anzscolookup.com.au/occupations/121399,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 4 states"
Locksmith,323313,323313,https://www.anzscolookup.com.au/occupations/323313,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 4 states"
Maintenance Planner,312911,312911,https://www.anzscolookup.com.au/occupations/312911,VETASSESS,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 7 states"
Make Up Artist,399514,399514,https://www.anzscolookup.com.au/occupations/399514,TRA,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 3 states, 491: 3 states"
Management Accountant,221112,221112,https://www.anzscolookup.com.au/occupations/221112,CPAA / IPA / CAANZ,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 6 states"
management consultant,224713,224713,https://www.anzscolookup.com.au/occupations/224713,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 3 states, 491: 3 states"
Management Consultant,224711,224711,https://www.anzscolookup.com.au/occupations/224711,Manual verification required,,Not available,Not available,"190: 0 states, 491: 0 states"
Manufacturer,133411,133411,https://www.anzscolookup.com.au/occupations/133411,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 6 states, 491: 6 states"
Marine Biologist,234516,234516,https://www.anzscolookup.com.au/occupations/234516,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
marine surveyor,231215,231215,https://www.anzscolookup.com.au/occupations/231215,AMSA,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
marine transport professionals (nec),231299,231299,https://www.anzscolookup.com.au/occupations/231299,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Market Research Analyst,225112,225112,https://www.anzscolookup.com.au/occupations/225112,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 4 states"
Marketing Specialist,225113,225113,https://www.anzscolookup.com.au/occupations/225113,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 3 states, 491: 4 states"
Massage Therapist,411611,411611,https://www.anzscolookup.com.au/occupations/411611,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 3 states, 491: 4 states"
master fisher,231211,231211,https://www.anzscolookup.com.au/occupations/231211,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Materials Engineer,233112,233112,https://www.anzscolookup.com.au/occupations/233112,Engineers Australia,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
Mathematician,224112,224112,https://www.anzscolookup.com.au/occupations/224112,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 4 states"
Meat Inspector,311312,311312,https://www.anzscolookup.com.au/occupations/311312,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
